Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"CALENDAR ENTRY:	APPOINTMENT

Description:
	Jan & Ava-Vacation Day

Date:		10/13/2000
Time:		8:00 AM - 9:00 AM (Central Standard Time)

Chairperson:	Ou...",Jan & Ava-Vacation Day,CALENDAR ENTRY: APPOINTMENT Description: Jan & Ava-Vacation Day Date: 10/13/2000 Time,Jan & Ava-Vacation Day Date: 10/13/2000
"Yes we do purchase uncollected Judicial Judgements!             .s26.

If you, your company or an acquaintance have an uncollected Judicial Judgement ...",We purchase uncollected Judicial Judgments,"if you, your company or an acquaintance have an uncollected Judicial Judgement then please call us and find out how we can help",Uncollected Judicial Judgements
"APB's itenerary
---------------------- Forwarded by Monique Sanchez/HOU/ECT on 04/30/2001 03:55 PM ---------------------------


<Jennifer_Lamprecht@o...",BEST WESTERN ITINERARY,Jennifer Lamprecht 713-215-7075 --------Original Message----- From: 'Jennifer Lamp,BEST WESTERN ITINERARY
"Start Date: 4/18/01; HourAhead hour: 17;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Energy Import/Export schedule.
V...",Start Date: 4/18/01; HourAhead hour: 17;  <CODESITE>,Variances detected in Energy Import/Export schedule. Variances found in table tblLoads.,Start Date: 4/18/01; HourAhead hour: 17; CODESITE>
"Steve, there are no changes from last heating season.  We are just trying to
	refresh everyone's memor as to the current procedures.  Thanks. Lynn

 -...",Demarc Allocation Presentation,"sjk -----Original Message----- From: Blair, Lynn Sent: Friday, October 12, 2001 5:09 PM",Demarc Allocation Presentation
"Debra Perlingiere
Enron North America Corp.
Legal Department
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.com
Phone 713-853-7658
Fax ...",Brazos VPP Limited Partnership,"Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 d",Enron North America Corp. Legal Department
"Revised  Article 4.6




Debra Perlingiere
Enron North America Corp.
Legal Department
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron.co...","Sempra, Reliant, AEP","Article 4.6 Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 770",Revised Article 4
"FYI
---------------------- Forwarded by Phillip M Love/HOU/ECT on 07/05/2000 
07:52 AM ---------------------------
   Carla Nguyen                06/3...",Denver Financial Liquidations,FYI ------------------ Carla Nguyen 07/05/2000 07:52 AM --------------- Carla N,Denver Financial Liquidations
"Yes, go ahead and send it to Kevin.  It does not look very helpful in that we 
cannot argue ENA assigned EES a lot of value.  Mark...",EES Asset Assignment,it does not look very helpful in that we cannot argue ENA assigned EES a lot of value.,ENA assigned EES
"Almost all trades executed under Merrill Lynch have been assigned to 
Allegheny.  It is my understanding that Merrill will no longer be trading 
finan...",Allegheny Energy Supply Company LLC - Merrill Lynch Capital,all trades executed under Merrill Lynch have been assigned to Allegheny. it is my understanding that Merrill will no longer be trading financial,Merrill Lynch Trades
"Happy new year to all!  Attached is the money market list as of yesterday 01/07/02.

Please feel free to call us with any questions.

Thanks, Julie...",Money market rates for 01/07/02,please feel free to call us with any questions.,Happy new year to all!
"Please see below from ISDA.  Do we ever want to go to using the ISDA for 
physical and financial deals?  Should this be a long range plan?   Mark
----...",Single Master Agreement,"a single master agreement will need to come from several fronts, but especially within each of your firms. the various trade associations will be most responsive",Single Master Agreement
"Forgive me.  Can't recall if I already responded. Not sure if there's a simple, concise summary (""concise"" just doesn't seem compatible with CA's siti...",Question about CA permitting process,"Lynne Kiesling, Ph.D. director of economic policy Reason Public Policy Institute. RPPI is a non-partisan public policy",Question about CA permitting process
"This is a reminder of Enron's Email retention policy.  The Email retention policy provides as follows:

Message Location - Maximum Retention
Inbox - 3...",Email Retention Policy,Enron's Email retention policy provides as follows: Message Location - Maximum Retention Inbox - 30 days Sent Mail Folder,Enron Email Retention Policy
"[IMAGE]
 [IMAGE][IMAGE]      [IMAGE] Market Coverage and World News Live Yahoo! Fin=
anceVision brings you the latest from Washington, New York, and a...","Yahoo! Newsletter, October 2001","Survivor is back=, and so is our popular Survivor Pick'em Game. join clubConn= ect now",Market Coverage and World News Live
Begining 6/4/01 most North American Gas and Power quotes will be displayed on and transactable from the TRUEQUOTE trading platform. Please call me if ...,EnronOnline Quotes on TRUEQUOTE,most quotes will be displayed on and transactable from the TRUEQUOTE trading platform. please call me if you have any questions or,North American Gas and Power Quotes
"Fellow Evening Haasians,

Who are these so called account managers, Rich, Jenny and Mark? What do they do? 
How can we leverage off their expertise an...",Come Meet the Recruitment Center Account Managers,the Haas Career Center staff includes 3 account managers that can be a valuable resource. they are located in the Recruitment Center (S330 by,Haas Career Center staff
"Kevin-

Quick thought - - - 

We need to add a ""pressure guarantee"" as a condition of service.  This has been discussed with both PW and Panda and nee...",Sun Devil - Pinnacle West term sheet,"Kevin- Quick thought - - - needs to add a ""pressure guarantee"" as a condition of service.","""pressure guarantee"""
"Anjam has told me he is not going to an energy competitor (he mentioned 
weather derivatives as a the only overlap.  I therefore see this as low risk ...",Further actions on Anjam's departure,anjam has told me he is not going to an energy competitor. he mentioned weather derivatives as a the only overlap.,Further actions on Anjam's departure
"Great.  I'll be there.  Jim

Linda -- Please put on my calendar.

 -----Original Message-----
From: 	Novosel, Sarah  
Sent:	Friday, August 10, 2001 10...",FW: Regulatory Affairs Panel Follow-Up & Future Meeting,"Jim: I will RSVP for you and me, if you're still interested in attending. I think that you and I should attend.",FW: Regulatory Affairs Panel Follow-Up & Future Meeting
"On balance , this is a good thing- not great, but Barbara and Roy did a great 
job to get the improvements they got- also, the seccuritization is good...",MI: SB937 and SB1253 passed House last night,the bills now go back to the Senate where the changes made by the House are expected to be agreed to. the bill will be signed by the Governor,MI: SB937 and SB1253 passed House last night
"Enron North America Corp. has executed a Consent to Assignment dated 10/05/00 
with respect to the Master Repurchase Agreement dated 01/22/97 between ...",Goldman Sachs Canada Repo Agreement,Enron North America Corp. has executed a Consent to Assignment dated 10/05/00 with respect to the Master Repurchase Agreement dated 01,Consent to Assignment dated 10/05/00
"JZA,

You'd better have a warm up game before I get down there...  I should be
playing at least once sometime in the next month.  Maybe I'll learn a n...",Al Julson: Back from the Grave,"I'm not black like Barry White, yo I'm white like Frank Black is. I'll let you know when it gets",Back from the Grave
"Attached are presentations from the Enron Advisory Council meeting.



 - 10th_April_Enron.ppt...",Advisory Council presentations,- 10th_April_Enron.ppt. Attached are presentations from the Enron Advisory Council meeting.,Enron Advisory Council Meeting
"Teco Tap       10.000 / Enron ; 20.000 / HPL Gas Daily

LS HPL LSK IC       30.000 / Enron...","Enron / HPL Actuals for Sept. 12, 2000",Teco Tap 10.000 / Enron; 20.000 / HPL Gas Daily LS HPL LSK IC 30.000 /,Teco Tap 10.000 / Enron
"Twanda,

could you please print these attachments in color?  Thanks.  MHC

----- Forwarded by Michelle Cash/HOU/ECT on 05/15/2000 09:28 AM -----

	She...",Revisions for Barbara Paige's Employment Agreemet,Michelle Cash/HOU/ECT on 05/15/2000 09:28 AM ----- Sheila Walton 05/12/2000 09:,Revisions for Barbara Paige's Employment Agreemet
"---------------------- Forwarded by Rob G Gay/NA/Enron on 01/09/2001 07:42 PM 
---------------------------


Tracee Bersani@ECT
01/08/2001 01:27 PM
To...",Change Order log (forecast and contingent only),forwarded by Rob G Gay/NA/Enron on 01/09/2001 07:42 PM --------------- Tracee Bers,Change Order log (forecast and contingent only)
"Kelli Stevens
Kevin Ruscutti
Joe Parks
---------------------- Forwarded by Suzanne Brown/HOU/ECT on 11/09/2000 05:46 
PM ---------------------------
 ...",ClickAtHome Pilot 2 Program - An Invitation,Suzanne Brown/HOU/ECT on 11/09/2000 05:46 PM ------------------ From: ClickAtHomePi,ClickAtHomePilot2 11/02/2000 06:30 PM
"Are you guys still going to desperados (SP?) tommorow?

I think I'm going to head there at about 3PM with Rob Laird and Blair 
McDermott (you know Bla...",Stampede Festivities,are you guys still going to desperados (SP?) tommorow? I'm going to head there at about 3PM with Rob L,Desperados (SP?) tommorow
I'd like to share something with you.  I have  included a link of the manufacturer's pricing to the Dealer-by Kelley Blue  Book.(New or Pre-Owned)  Th...,Eastway Ford Friends Of The Family.,I have included a link of the manufacturer's pricing to the Dealer-by Kelley Blue Book. you just drive to the person who shows,Dealer-by Kelley Blue Book
"Please first thing complete the list of counterparties and assigned attorneys with Jay and get it to me.  Thanks.


Cordially,
Mary Cook
Enron North A...",Master Netting:  ASAP TO DO,77002-7361 (713) 345-7732 (713) 646-3393 (fax: mary.cook@enr,Enron North America Corp.
The report named: West Power Desk Daily Price Report <http://erv.corp.enron.com/linkFromExcel.asp?report_cd=25&report_name=West+Power+Desk+Daily+Price...,ERV Notification:  (West Power Desk Daily Price Report -,the report named: west power Desk Daily Price Report is now available for viewing on the website.,West Power Desk Daily Price Report
"No wanting to incur the wrath of Jen for failing to keep you informed.  Monte 
Montgomery will be playing at The Fabulous Satellite Lounge May 6.  
Ho...",Don't make the same mistake twice...,Monte Montgomery will be playing at The Fabulous Satellite Lounge.,Monte Montgomery will be playing at The Fabulous Satellite Lounge
"There is a volume discrepancy for deal # 117853/YK6095.1 as reported in Sitara and TAGG.  Please take a look at this deal.  
Also, is anybody working ...",Kennedy Oil (Deal # 1178533) - Discrepancies,there is a volume discrepancy for deal # 117853/YK6095.1. there is a volume discrep,Deal # 117853/YK6095.1
"As a result of a number of UBS offer declines, the East Power book organization has several changes in comparison to the book list which was originall...",Revised East Power UBS Book Listing,the East Power book organization has several changes in comparison to the book list which was originally set up in GCP and other systems.,UBS offer declines
"[IMAGE]










April 09, 2001

Can't read this email? Click here
Issue#: e10604

PROVANTAGE Customer: jeff_dasovich@enron.com

To unsubscribe from ...",The Original Advantage #e10604,PROVANTAGE - The Original Advantage Click here (Do not Reply to this email? ) PROVANTAGE - the Original Advantage,PROVANTAGE - The Original Advantage
"calendar
---------------------- Forwarded by Steven J Kean/NA/Enron on 09/13/2000 
08:07 AM ---------------------------


Rob Bradley
09/12/2000 11:01...",Thursday Meeting on Winter Gas Prices,john avlon: i have invited following individuals to join us at the 3 pm Thursday meeting. avlon:,Thursday Meeting on Winter Gas Prices
"Sept. 17, 2000

     Teco Tap       61.667 / HPL Gas Daily ; 25.000 / Enron

     LS HPL LSK IC       15.000 / Enron

Sept. 18, 2000

     Teco Tap   ...","Enron / HPL Actuals for Sept. 15 - 17, 2000",Teco Tap 61.667 / HPL Gas Daily; 25.000 / Enron LS HPL LSK IC 15.000 ,Teco Tap 61.667 / HPL Gas Daily
"eSource presents Free Global Energy Markets Presentation:

June. 5 	 9:00 -  9:30 AM	EB 5C2
June. 5 	 10:00 -  10:30 AM 	EB 5C2

Global Energy Markets...",eSource Presents Free Global Energy Markets Presentation,eSource presents Free Global Energy Markets Presentation: June. 5 9:00 - 9:30 AM EB 5C2 June. 5 10:00 ,Free Global Energy Markets Presentation
"Based on the # of EES people attending a meeting that is about tariff prices (ie. EWS , I would hate to see the expense side of the EES ledger.

 ----...",7/6/01 Exelon Meeting - Chicago,I would hate to see the expense side of the EES ledger. Marc Ulrich and Jeff Merola will do fine as long as they,7/6/01 Exelon Meeting - Chicago
"Content-Transfer-Encoding: 7bit
Return-Path: <bambos@stanford.edu>
Received: from  rly-yc03.mx.aol.com (rly-yc03.mail.aol.com [172.18.149.35]) 
by air...",Enron/Stanford Program,from rly-yc03.mx.aol.com (172.18.149.35) by air-yc05,Enron/Stanford Program References
"This is sad, don't let him know I forwarded  it to you.
 
 
-----Original Message-----
From: Murphy, Tim [mailto:Tim.Murphy@ElPaso.com]
Sent: Monday, ...",Top ten uses for the new Enron building,"""we do not like each other anymore, and fight like cats and dogs,"" she says. ""we are moving at a deliberate pace",Top ten uses for the new Enron building
"Martin and Orjan:

Thank you for responding to my message.  I still need to know WHO will 
EXECUTE the confirmation on behalf of Enron Nordic Energy (...",Rho/Drift/Benchmark & Hedge Management Fee,Clara is here in Houston and cannot sign for that entity. Clara is currently working on a new arrangement to hedge 100% instead of 90 ,Rho/Drift/Benchmark & Hedge Management Fee
"not for the faint - hearted
 
<http://www.dfuse.net/wtc/>...",Attack on America....,http://www.dfuse.net/wtc/.,Dfuse.net/wtc
"Can you lend whatever assistance you, or Louise can provide, in getting me 
assistance from Mike Neves on adding the Contract Database for EnronOnline...",Contract Database for EnronOnline,"can you lend whatever assistance you, or Louise can provide, in getting me assistance from Mike Neves on adding the contract database for Enron",Contract Database for EnronOnline
"TO: Houston Area Employees Participating in Domestic Medical Plan Benefits

FROM: Enron Human Resources


We are pleased to pass along to you the fact...",United HealthCare Contracting Update,employees currently electing UHC will receive a confirming letter. there will be no disruption in terms of accessing network services from the hospital system,Houston Area Employees Participating in Domestic Medical Plan Benefits
"This information is generated mostly using ISO information.  CERA numbers 
will not be available until later in the weekend....",CA supply/demand background info for 2001,CERA numbers will not be available until later in the weekend.,This information is generated mostly using ISO information
"In today's edition of the Daily Update, chartered financial analyst Rick
Wayman forewarns investors of issues to watch for this earnings season,
with ...","January 15, 2002 - Enron's impact spills over",analyst Rick Wayman forewarns investors of issues to watch for this earnings season. eMarketer senior analyst Steve Butler reviews news from,Daily Update - Earnings Season
"82




michael.byrne@americas.bnpparibas.com on 10/11/2000 08:17:21 AM
To: michael.byrne@americas.bnpparibas.com
cc:  
Subject: BNP PARIBAS Commodity ...",BNP PARIBAS Commodity Futures Weekly AGA Survey,"this message is intended solely for the addressees and are confidential. if you receive this message in error, please delete it and immediately",BNP PARIBAS Commodity Futures Weekly AGA Survey
"Gentlemen,

I'm with EWS Legal, and I'm working with John Llodra (East Power origination) 
concerning a confidentiality agreement with Ameresco.  The ...",Confidentiality agreement,the proposed transaction is described as a potential power plant site development and asset management services related to the island end generation project. the current draft of the,a confidentiality agreement with Ameresco
"Start Date: 1/10/02; HourAhead hour: 1;  No ancillary schedules awarded.  No variances detected. 

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\We...",Start Date: 1/10/02; HourAhead hour: 1;,LOG MESSAGES: PARSING FILE -->> O:PortlandWestDeskCaliforn,Start Date: 1/10/02; HourAhead hour: 1;
"How about 2pm EST - 1pm CST?

Jim

 -----Original Message-----
From: 	""Jackie Gallagher"" <JGallagher@epsa.org>@ENRON  
Sent:	Friday, October 26, 2001 ...",Conference Call on Tuesday,"Jim, Julie, wants to hold a conference call on Tuesday, October 30th. she wants to discuss the possibility of designing and undertaking cost-",Conference Call on Tuesday
"No GCP adjustments:

 
 Samuel x3-9890
 Enron Net Works _ Global Counterparty Team

 -----Original Message-----
From:  Moran, Tom  
Sent: Wednesday, M...",EOL Approvals: 05-30-01 _ GCP Response,e-mail: sam x3-9890 Enron Net Works Global Counterparty Team. sam x3,EOL Approvals: 05-30-01
"***  Respond to Debra Davidson by April 30 ***

Trading, Origination, Asset Services, and Community Affairs have purchased a 
box suite (17 seats) at ...",Respond to this Questionnaire---Opportunities for FUN!,the Enron PGE Park Committee is working together to ensure equitable distribution of tickets so that everyone on the floor will have an opportunity to attend games ,"Trading, Origination, Asset Services, and Community Affairs"
"I can't seem to pull up 598391 - is that the correct deal number?

Kate


   
	
	
	From:  Kimberly Indelicato                           05/02/2001 07:...",New Counterparty Name on #598391,"598391 has a new counteparty but it is not in the system yet. can we get more details on this, like what",New Counterparty Name on #598391
"PLEASE SEE ATTACHED MEMO FROM CINDY OLSON REGARDING THE ABOVE.




THANK YOU

BOBBIE...",MD/VP Titling Guidline,PLEASE SEE ATTACHED MEMO FROM CINDY OLSON REGARDING THE ABOVE.,ATTACHED MEMO FROM CINDY OLSON
"Tana,

I do not know of any problems with this counterparty.



	Tana Jones
	10/27/2000 09:01 AM
		 
		 To: Alan Aronowitz/HOU/ECT@ECT, Jeffrey T Hodg...",RUSH APPROVAL-Oklahoma Gas & Electric,Tana Jones called RUSH APPROVAL-Oklahoma gas & electric credit and asked if we could get them a,RUSH APPROVAL-Oklahoma Gas & Electric Credit
"-----Original Message-----
From: 	Nicolay, Christi L.  
Sent:	Wednesday, October 24, 2001 12:55 PM
To:	Black, Tamara Jae; Harvey, Claudette; Meyn, Jim...",Update on RTOs -- Today's FERC meeting,"FERC held a discussion today on the status of NE, SE, and Midwest RTO proposals. no decisions were made by FER",Update on RTOs -- Today's FERC meeting
"To: Oil and Gas Attorneys

The Rocky Mountain Mineral Law Foundation is sponsoring
two courses in winter 2001-02:

Natural Gas Transportation & Market...",RMMLF Natural Gas & Water Quality Institutes,"the Rocky Mountain Mineral Law Foundation is sponsoring two courses in winter 2001-02: Natural Gas Transportation & Marketing Houston, Texas December 6-7, 2001",Oil and Gas Attorneys
"---------------------- Forwarded by Don Black/HOU/EES on 05/31/2001 02:32 PM ---------------------------
   
	Enron Energy Services  From:  Scott Mill...",Power Mid to Offer Reserve (effective 05.30.01),the value between mid and offer on all power deals done between EES and the third party will be held in reserve. a report will be generated,Power Mid to Offer Reserve
"Lets plan to meet Monday morning at 10:00 to discuss our approach.  Bill, we will call you.  Maria and I will not be at Mary Kay's meeting (we will be...",Meeting - Recent Negotiated Rate Orders & Impact,"a meeting to discuss the above mentioned topic has been scheduled for Monday, Dec. 3 from 3 - 4 pm. the meeting is scheduled for",Meeting - Recent Negotiated Rate Orders
"I wish I could attach the first one to the header on all my e-mails.
-----Original Message-----
From: Palmer, John T [mailto:JohnTPalmer@eaton.com]
Se...",My Schedule for next week,"John T. Palmer IT Manager Eaton Corporation Navy Controls Division Milwaukee, WI W (414) 449-7227 M (414) 759",FW: My Schedule for next week
"Start Date: 4/22/01; HourAhead hour: 10;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Energy Import/Export schedule.
V...",Start Date: 4/22/01; HourAhead hour: 10;  <CODESITE>,Variances detected in Energy Import/Export schedule. Variances found in table tblLoads.,Start Date: 4/22/01; HourAhead hour: 10; CODESITE>
"Hello!

We are the Elves in Black and we are having a Holiday Raffle in the Enron 
Lobby to raise money for the Analyst & Associate Adopt-A-Family Pro...",Holiday Raffle in Enron Lobby,we are the Elves in Black and we are having a Holiday Raffle in the Enron Lobby to raise money for the analyst &,Holiday Raffle in Enron Lobby
"Here is the new policy.
Ben
---------------------- Forwarded by Ben Gwaltney/NA/Enron on 12/06/2000 09:14 
AM ---------------------------
   
	
	
	Fro...",Updated - Approval Authorizations,Ben ------------------ Forwarded by Ben Gwaltney/NA/Enron on 12/06/2000 09:14,Updated - Approval Authorizations
"Don:

have you requested the public folder to replace th LN database?  Let me know the # and I will give it a push...

FYI below on the old data!

Dan...",CONFIDENTIAL: FW: Final - Project Expectations & Issues,"spc -----Original Message----- From: Cox, Paige Sent: Thursday, January 24, 2002 12:",Final - Project Expectations & Issues
"I will be passing an envelop to collect a small monetary token of 
appreciation for Kimberly and Alex for Administrative Assistants' week.  
Please gi...",Administrative Assistants' Week,I will be passing an envelop to collect a small token of appreciation for Kimberly and Alex for administrative assistants' week. please,Administrative Assistants' Week
"Please see attached.



Regards,

Aparna Rajaram
ext. 5-4563...","Click Paper Approvals, 03-19-01",Aparna Rajaram ext. 5-4563.,Aparna Rajaram ext. 5-4563
"Reggie just brought around a whole stack of confirms of pulp & paper deals 
that came into the fax area.  Is anyone looking for this stack of confirms...",Pulp & Paper Confirms,"Reggie just brought around a whole stack of confirms of pulp & paper deals. if not, I'll have Reggie walk",fax & fax deals
"Attached for you review is the FERC Order for SDG&E vs. Sellers of Energy and
Ancillary Services.

  If you have any  questions, please contact your A...",Notice to Participants,FERC Order for SDG&E vs. Sellers of Energy and ancillary services. if you have any questions,FERC Order for SDG&E vs. Sellers of Energy
"Tina:
Ben T. sent where the deal sheets are located but I do not have access to 
either of these folders.  We may want to have somebody who has access...",Access to Dealsheet folders,Ben T. sent where the deal sheets are located but I do not have access to either of these folders. we may want someone who has access,Ben T. sent where deal sheets are located
"======================================================
        VENTUREWIRE --- Tuesday, September 12, 2000
===========================================...","VentureWire, Tuesday, September 12, 2000",vcapital offers you access to over 370 venture capital firms representing over $70 billion in capital under management. vcapital offers you,New Money:
"Here 'tis.  I don't think it compared the charts, but it found lots of other 
things to compare.



Kay...","Oh, just a change or two...","'tis compared the charts, but it found lots of other things to compare.",I don't think it compared the charts
"-----------------------------------------------------------------
Your Email address has not been given to any third parties.
This special offer is on...",Follow the Earnings Warnings Season,this special offer is only sent to stockSelector.com registrants who have opted-in to receive information and special offers. this,StockSelector.com Earnings Warning Newsletter
"Please update your email and phone numbers on me.  Here is the latest.

Jeff Byron
Enerwise Global Technologies
505 Seaport Blvd.
Suite 101
Redwood Ci...",Change of work address for Jeff Byron,"Jeff Byron Enerwise Global Technologies 505 Seaport Blvd. Suite 101 Redwood City, CA 94063 Phone: (650) 368",Update your email and phone numbers
"Privileged and Confidential
This email contains legal advice

Hoyt and Melissa,

I am assuming that we are discussing contract personnel who provide s...",Priviliged and Confidential communication to my attorney Re:,the question of a joint employer arises when a company treats its contract personnel like its own. if there are distinctions between the various,Priviliged and Confidential communication to my attorney
"Do I need to do anything re: this?  Thanks. DF
---------------------- Forwarded by Drew Fossum/ET&S/Enron on 01/21/2000 
10:56 AM --------------------...",PCGA Workshop Invitation,DF --------------------- Forwarded by Drew Fossum/ET&S/Enron on 01/21/2000 10,PCGA Workshop Invitation
"As of today May 9, 2001 Bammel has working gas of approximately 20.3 TBTU.  Economics are favorable to keep injecting.  I estimate that injections wil...",Bammel Working Gas Sale To AEP,"injections will average around 1TBTU per week through may 31, 2001. at the current pricing level this means that AEP would owe En","Bammel injections will average 1TBTU per week through May 31, 2001"
"yes



	Richard Shapiro
	02/26/2001 01:34 PM
		 
		 To: Steven J Kean/NA/Enron@Enron
		 cc: 
		 Subject: Northeast Water Plant

Do we still want this?...",Northeast Water Plant,the HAWC and the Northeast Water Plant are on the infrastructure committee's agenda tomorrow at Houston City Council. I am concerned about the proposed Az,Northeast Water Plant
"We welcome you to <a href=""http://www.pmaconference.com/PMAdesk.pdf"">download</a> a free
trial issue of <i>The Desk</i>, the industry's leading weekly...",The Desk-- Free Sample Issue,"i>the Desk/i> is the industry's leading weekly on power trading, risk management and market intelligence. you can subscribe",i>The Desk/i>
"I sent it to Ken and Mike.  They had difficulty opening it, but did get it=
=20
open this am.  I haven't heard back since then.

Herman wants to meet ...",Land Option Agreement/VEPCO,herman wants to meet on Thursday or Friday to discuss structure. she says it i= s=20 muy mal to begin construction before,Land Option Agreement/VEPCO
"I will be attending Ercot meetings in Austin Thursday and Friday of this week.   I can be reached by cell phone.


Thanks,
JForney...",Forney out of the office Thursday/Friday,i will be attending Ercot meetings in Austin. i can be reached by cell phone.,Ercot Meetings
"?
I know it's crunch time and here's what we've been  able to dig up for you =
so=20
far this week.? Lots of things to keep an eye  on.? Remember, we ...",[cheatsheets] #154 Week 15 Players in the News (12-8-00),"QB Jake Plummer (Ari) has sore ribs, but expects to start this week. he=20 practice",Quarterbacks in the News
"Here is the link to the Redherring.com story done on EnronOnline.
 
http://www.redherring.com/industries/2000/0418/ind-enron041800.html

Meredith...",Redherring.com story,redherring.com story was done on EnronOnline.,Redherring.com story
"Payroll deductions and cost center billings for The Downtown Club (Met) memberships will terminate December 31, 2001.  Memberships will continue throu...",ATTENTION: Downtown Club (MET) Members,"Payroll deductions and cost center billings for The Downtown Club (Met) memberships will terminate December 31, 2001. members will continue through a",Payroll deductions and cost center billings for The Downtown Club
"Dear Giuseppe:

Unfortunately, I am no longer with the Associate and Analyst recruiting 
department and will be unable to assist you directly.  Please...",From a previous summer intern,Tracy Warner is now responsible for recruiting. she will be able to assist you directly.,From a previous summer intern
"Due to the volume of deals (260) related to this assignment, we've asked 
Curtis Smith in TAGG/IT Support to move these over in a batch process.  I'll...",Statoil/J Aron assignment,we've asked Curtis Smith in TAGG/IT Support to move these over in a batch process. he'll let,Statoil/J Aron assignment
"These have both been changed - trader error.

Thanks,
Kate




Evelyn Metoyer@ENRON
11/21/2000 02:02 PM
To: Kate Symes/PDX/ECT@ECT
cc:  

Subject: 11-...",11-21-00 discrepancies,trader error and trader error.,11-21-00 discrepancies deal 464181
"Dear Jonathan,

Following our earlier telephone conversation, here is the list of countries 
for which we need to undertake follow-up commodity due di...",Metals due diligence,there is the following list of countries for which we need to undertake follow-up commodity due diligence for trading physical metals products. the initial two products,Countries for which we need follow-up commodity due diligence
"Tana:

Alliant Energy Corporation - no change -- not authorized to trade US power
Northpower - not authorized to trade US power -- restricted by credi...",EOL Credit Responses 11/14/00,no change -- not authorized to trade US power Northpower. restricted by credit Leslie.,Alliant Energy Corporation
"All,

The below Analyst & Associate recruiting dates require ENA participation at Manager level at above.   In order to resource each of your departme...",URGENT - ENA Associates & Analysts,the above debrief sessions will allow you the opportunity to select candidates you wish to join your groups. the target is to assign potential candidates to business units,Analyst & Associate Recruitment Dates
"To view this email with images click below. 
http://gap.m0.net/m/s.asp?HB4475425247X1106208X78536X

Get the GapKids Fall Fashion Forecast.
     It's a...",Fall Fashion Forecast: Kids Sweaters,send this email to a friend: http://gap.m0.net/m/s.asp?HB447542,GapKids Fall Fashion Forecast
"logoInfoBeat: Don't miss a beat!
	Daily Dose
	[IMAGE]
	
[IMAGE]	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE...",InfoBeat Fun - Daily Dose - 12/08/2000,"""Proof of Life"" opens around the country on friday. the official web site is cool, highlighting all the things about kidna",Daily Dose - Daily Dose
"Kay

Here is an overview of what projects are active:

1.  Midway - Greg Krause

The hot item is a Property Owners Association Agreement that will be ...",Status of AEW's projects,"the hot item is a Property Owners Association Agreement that will be entered into between Midway Development Company, L.L.C. and Cooney",Property Owners Association Agreement
"Thanks


From: Tana Jones on 05/09/2000 01:55 PM
To: Trey Hardy/HOU/ECT@ect
cc:  
Subject: Re: ECT Legal Consolidation Financials  

The date our annu...",ECT Legal Consolidation Financials,it took the NYMEX quite a while last year to approve our exemptions. last year our renewals were due the 1st week,ECT Legal Consolidation Financials
"We are planning a meeting with the teams lead by Meredith,  Mark Evans and Mary Lynne Ruffner this afternoon - you should be getting information from ...",Organization Announcement,"two new risk groups will be formed to provide EES with pricing, structuring, retail and wholesale commodity risk management, logistics and back-office services ",Organization Announcement
"Jerry:

Stan is in California at the KEYEX meeting today and tomorrow.    What do y=
ou=20
suggest?

Cindy



From: Jerry Peters/ENRON@enronXgate on 0...",NBP Underwriting Group,"s= o=20 is attempting to balance our placement into firms that have substantial NBP=20 holdings (UBS Warburg,",NBP Underwriting Group Importance: High
"-----Original Message-----
From: webmaster@cera.com [mailto:webmaster@cera.com]
Sent: Wednesday, January 16, 2002 10:14 PM
To: clients@cera.com
Subjec...","Atlantic Basin Distillate Margins Pressured by Weak Demand,","demand is down relative to a year ago, resulting from declining air travel, mild temperatures in North America, and much lower North American natural gas prices","Atlantic Basin Distillate Margins Pressured by Weak Demand, Ample Stocks"
"I just sent Kroum a little missive on our familiarity with the ""killed"" 
feature, as well as why we often zero out deals (Transmission in particular) ...",Desk-to-Desk v. Cross-Portfolio,"if you can kill a deal, you should do that instead of zeroing the volume. the deal you reference below is kind of like ",Desk-to-Desk v. Cross-Portfolio
"We now have a PG&E topock basis product on EOL.  The curve is currenlty 
mapped to Socal with the differential to Socal being calculated in the 
physi...",PG&E topock fin curve,the curve is currenlty mapped to Socal. the differential to Socal is calculated in the physical index curve.,PG&E topock basis product
"Kay:
The Village's attorney drafted the agreement and therefore we do not have an
electronic version -- unfortunately, he does not have email either. ...",Yorkville Annexation Agreement,the redlined version you are reviewing now reflects only minor changes from that originally executed by ENA approximately a month ago. the redline,Yorkville Annexation Agreement
